state,statecode,statenum,sector,secnum,welfare_effect,emp_effect,emp_effect_tot,emp_regcontri_manuf,emp_regcontri_nonmanuf,emp_effect_sec,emp_regcontri,emp_seccontri,emp_regcontri_manuf_scale,emp_regcontri_nonmanuf_scale,emp_regcontri_scale,welfare_effect_indicator,emp_effect_indicator
United States,US,0,Non-employment,1,.16055,,,,,,,,6,6,6,1,1
United States,US,0,"Food, Bev., Tob.",2,.17736,-.64767736,-.36088407,100,,-.0064767739,99.999992,1.7946965,6,6,6,1,0
United States,US,0,Textiles,3,.089344002,-4.3283882,-.36088407,100,,-.043283883,100,11.993847,6,6,6,1,0
United States,US,0,"Wood, Paper",4,.1577,-2.0166512,-.36088407,100,,-.020166513,99.999992,5.5880857,6,6,6,1,0
United States,US,0,"Petroleum, Coal",5,.055982001,-.24654287,-.36088407,100,,-.0024654288,100,.68316364,6,6,6,1,0
United States,US,0,Chemicals,6,.12182,-1.8591735,-.36088407,100,,-.018591736,100,5.1517196,6,6,6,1,0
United States,US,0,"Plastics, Rubber",7,.099349998,-2.3946352,-.36088407,100,,-.023946352,100,6.6354694,6,6,6,1,0
United States,US,0,Nonmetallic,8,.13685,-.84945726,-.36088407,100,,-.0084945727,100,2.3538232,6,6,6,1,0
United States,US,0,Metal,9,.12037,-3.9620578,-.36088407,100,,-.039620578,100,10.978755,6,6,6,1,0
United States,US,0,Machinery,10,.12407,-3.8382475,-.36088407,100,,-.038382474,100,10.63568,6,6,6,1,0
United States,US,0,"Computer, Elect.",11,.082709,-8.379981,-.36088407,100,,-.083799809,100,23.220701,6,6,6,1,0
United States,US,0,Transport Mfg.,12,.142,-2.8143837,-.36088407,100,,-.028143838,100,7.7985816,6,6,6,1,0
United States,US,0,Furniture Mfg.,13,.14236,-4.7512107,-.36088407,100,,-.047512107,100,13.165476,6,6,6,1,0
United States,US,0,Wholesale and Retail,14,.17823,2.933852,.36088291,,100,.02933852,100,8.1296511,6,6,6,1,1
United States,US,0,Construction,15,.18016,3.2239377,.36088291,,100,.032239377,100,8.9334726,6,6,6,1,1
United States,US,0,"Transport Serv.,",16,.18723001,3.4763622,.36088291,,100,.034763623,100,9.6329365,6,6,6,1,1
United States,US,0,Information,17,.18183,1.1918598,.36088291,,100,.011918599,100,3.3026221,6,6,6,1,1
United States,US,0,Finance,18,.18756001,.97977382,.36088291,,100,.0097977379,100,2.7149353,6,6,6,1,1
United States,US,0,Real Estate,19,.19246,1.7246898,.36088291,,100,.017246898,100,4.7790842,6,6,6,1,1
United States,US,0,Education,20,.19472,3.5525277,.36088291,,100,.035525277,100,9.8439903,6,6,6,1,1
